file,Kincaid,ARI,Coleman-Liau,FleschReadingEase,GunningFogIndex,LIX,SMOGIndex,RIX,DaleChallIndex,total_words,total_sentences,total_characters,passive_voice,active_voice,passive_toks,active_toks,verbs,nouns,adjectives,adverbs,prepositions,auxiliaries,coord_conjunctions,determiners,interjections,numbers,particles,pronouns,proper_nouns,punctuations,subordinating_conjunctions,symbols,other,persons,norp,organizations,gpe,products,works,dates,times,quantities,ordinals,cardinals,percentages,locations,laws,stopwords,characters_per_word,syll_per_word,words_per_sentence,sentences_per_paragraph,type_token_ratio,syllables,wordtypes,long_words,complex_words,complex_words_dc,tobeverb,auxverb,conjunction,nominalization,label
11523-MT_MED_9011_page1.txt,0.02511971937481609,0.018509246224250042,0.6043981245857661,0.9472729238018602,0.015706815260481392,0.020823451470223495,0.04599704109271202,0.013011152416356878,0.043988781276163104,-0.003981684252438782,0.013392857142857142,-0.005025842095883087,0.0,0.0,0.007407407407407408,0.044444444444444446,0.1111111111111111,0.25925925925925924,0.05925925925925926,0.007407407407407408,0.13333333333333333,0.014814814814814815,0.022222222222222223,0.13333333333333333,0.007407407407407408,0.0,0.014814814814814815,0.044444444444444446,0.14814814814814814,0.1111111111111111,0.007407407407407408,0.0,0.0,0.044444444444444446,0.014814814814814815,0.007407407407407408,0.0,0.0,0.08888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4074074074074074,0.6281621310697006,0.5910292695042878,0.014559050841793039,0.022222222222222223,0.8211188503053272,0.007544483985765124,0.012727272727272728,0.24444444444444444,0.1259259259259259,0.362962962962963,0.014814814814814815,0.0,0.022222222222222223,0.007407407407407408,1
11433-MT_MED_9011_page3.txt,0.008930927086315522,0.006896229530310442,0.46858732443313733,0.9811511018116686,0.007461244631041176,0.007215799035687571,0.021996689707657446,0.004248539564524694,0.011417328919962038,0.0173203264981087,0.05803571428571429,0.013330957048654429,0.0,0.0,0.004132231404958678,0.10743801652892562,0.1115702479338843,0.2768595041322314,0.0371900826446281,0.004132231404958678,0.14049586776859505,0.05371900826446281,0.01652892561983471,0.128099173553719,0.0,0.049586776859504134,0.02066115702479339,0.049586776859504134,0.04132231404958678,0.13636363636363635,0.01652892561983471,0.0,0.0,0.0,0.0,0.004132231404958678,0.0,0.01652892561983471,0.0,0.049586776859504134,0.0,0.0,0.0,0.0371900826446281,0.0,0.0,0.0,0.47107438016528924,0.5158091567342608,0.449729256675399,0.008464182765473656,0.14444444444444443,0.5660562805475813,0.02092526690391459,0.056363636363636366,0.18181818181818182,0.10743801652892562,0.2809917355371901,0.03305785123966942,0.004132231404958678,0.024793388429752067,0.004132231404958678,1
11547-MT_MED_9011_page11.txt,0.02646151623850838,0.021431701938404667,0.6575888885151081,0.9444489171130277,0.01953770987649654,0.025485461994858606,0.06004449266532615,0.016263940520446097,0.0432695923101845,0.0057734421660362335,0.044642857142857144,0.006380324362858671,0.0,0.0,0.010869565217391304,0.10869565217391304,0.1358695652173913,0.25,0.11956521739130435,0.021739130434782608,0.11956521739130435,0.03804347826086957,0.021739130434782608,0.125,0.0,0.005434782608695652,0.021739130434782608,0.03260869565217391,0.02717391304347826,0.08152173913043478,0.03804347826086957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4782608695652174,0.6778772878997381,0.6028690649226186,0.015055144754981827,0.07777777777777778,0.7567148421462524,0.018505338078291814,0.05090909090909091,0.27717391304347827,0.15217391304347827,0.358695652173913,0.03260869565217391,0.005434782608695652,0.021739130434782608,0.010869565217391304,1
11507-MT_MED_9011_page9.txt,0.02754854231558738,0.01958964441528222,0.5994607948619008,0.9431245675760057,0.018611408802099598,0.029908110880214757,0.05541932339455712,0.01960121662723893,0.05986392297881614,0.021102926537925542,0.07142857142857142,0.021564783461058636,0.0,0.0,0.011494252873563218,0.08812260536398467,0.12643678160919541,0.26436781609195403,0.08045977011494253,0.0038314176245210726,0.13793103448275862,0.07279693486590039,0.019157088122605363,0.09961685823754789,0.0,0.04980842911877394,0.011494252873563218,0.04597701149425287,0.02681992337164751,0.10344827586206896,0.022988505747126436,0.0,0.0,0.0,0.0,0.022988505747126436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03065134099616858,0.022988505747126436,0.0,0.0,0.45977011494252873,0.6205114249787199,0.6047565899114669,0.016002233134705876,0.002469135802469137,0.5761066128141369,0.03558718861209965,0.07636363636363637,0.3065134099616858,0.13793103448275862,0.4061302681992337,0.04980842911877394,0.019157088122605363,0.019157088122605363,0.03065134099616858,1
10973-MT_MED_9011_page9.txt,0.006080257919741186,0.010525563371155481,0.684989378033046,0.9693021355837226,-0.005250970430818356,0.019709762884553055,-0.017748208733358476,0.0025736345438947678,0.12459911555038282,-0.010352379056340831,0.0,-0.010657636784886829,0.0,0.0,0.009708737864077669,0.019417475728155338,0.02912621359223301,0.21359223300970873,0.02912621359223301,0.009708737864077669,0.04854368932038835,0.02912621359223301,0.009708737864077669,0.05825242718446602,0.0,0.07766990291262135,0.0,0.019417475728155338,0.34951456310679613,0.18446601941747573,0.009708737864077669,0.0,0.0,0.0970873786407767,0.009708737864077669,0.05825242718446602,0.0,0.009708737864077669,0.10679611650485436,0.0,0.009708737864077669,0.0,0.0,0.04854368932038835,0.0,0.0,0.0,0.18446601941747573,0.8207435078140809,0.5673008833630955,-0.002689752909078639,0.009523809523809525,1.1571678690577492,-0.0018505338078291815,0.0036363636363636364,0.33980582524271846,0.08737864077669903,0.5825242718446602,0.02912621359223301,0.0,0.009708737864077669,0.07766990291262135,1
10993-MT_MED_9011_page8.txt,0.023239495624509953,0.0204602023940254,0.7384624569503629,0.9438265515309312,0.008319984965557359,0.02507496199598063,0.023792534480248016,0.014012010294538175,0.05769518555221171,0.018713915986462274,0.049107142857142856,0.02184993762252718,0.0,0.0,0.004016064257028112,0.060240963855421686,0.10441767068273092,0.18875502008032127,0.0642570281124498,0.008032128514056224,0.11244979919678715,0.03614457831325301,0.0321285140562249,0.07630522088353414,0.0,0.05220883534136546,0.01606425702811245,0.040160642570281124,0.19678714859437751,0.1686746987951807,0.012048192771084338,0.008032128514056224,0.004016064257028112,0.0,0.0,0.12048192771084337,0.0321285140562249,0.008032128514056224,0.028112449799196786,0.004016064257028112,0.01606425702811245,0.0,0.0,0.01606425702811245,0.0,0.0,0.0,0.3534136546184739,0.7691203419825885,0.6336407781113526,0.00967443385039575,0.13333333333333333,0.8815972808242298,0.03188612099644128,0.13454545454545455,0.30120481927710846,0.10040160642570281,0.39357429718875503,0.024096385542168676,0.008032128514056224,0.028112449799196786,0.028112449799196786,1
11523-MT_MED_9011_page7.txt,0.014419064409631557,0.008731392307714058,0.48931214353266866,0.9678591900864747,0.006271093740398739,0.016773271621026105,0.01573854640937079,0.009462656302805003,0.04490600152882344,0.00875970535536532,0.03125,0.005952593120655854,0.0,0.0,0.020100502512562814,0.08542713567839195,0.11557788944723618,0.271356783919598,0.08542713567839195,0.01507537688442211,0.08542713567839195,0.08542713567839195,0.020100502512562814,0.135678391959799,0.0,0.035175879396984924,0.020100502512562814,0.03015075376884422,0.005025125628140704,0.1507537688442211,0.04522613065326633,0.0,0.0,0.0,0.0,0.0,0.0,0.005025125628140704,0.0,0.0,0.0,0.0,0.0,0.020100502512562814,0.03015075376884422,0.0,0.0,0.4824120603015075,0.5318989265606572,0.5120801169616668,0.009507912816598114,0.019444444444444445,0.5874556275120199,0.01693950177935943,0.02909090909090909,0.25125628140703515,0.09045226130653267,0.3768844221105528,0.05025125628140704,0.03015075376884422,0.020100502512562814,0.035175879396984924,1
11437-MT_MED_9011_page3.txt,0.02053358233109765,0.014998231351376689,0.6224149658398175,0.9511546347571864,0.011706326496270906,0.016984814003410256,0.03635979820397512,0.00960346964064436,0.01604460076844272,0.01294047382042604,0.044642857142857144,0.013437889859205132,0.0,0.0,0.00909090909090909,0.10454545454545454,0.1409090909090909,0.2681818181818182,0.06363636363636363,0.022727272727272728,0.10454545454545454,0.05454545454545454,0.01818181818181818,0.13636363636363635,0.0,0.0,0.031818181818181815,0.05,0.031818181818181815,0.13636363636363635,0.02727272727272727,0.0,0.0,0.0,0.0,0.04090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4954545454545455,0.6586237692024919,0.5967052879323358,0.009598111709905169,0.12222222222222222,0.7319036669641932,0.025480427046263344,0.07818181818181819,0.25,0.1318181818181818,0.2909090909090909,0.04090909090909091,0.004545454545454545,0.01818181818181818,0.01818181818181818,1
1016-MT_MED_9011_page2.txt,0.06898782685002758,0.06477430278611626,0.6036654752398002,0.9105867654954011,0.06219368103134593,0.06579687116630815,0.12639440894929937,0.046840148698884754,0.06654148500086532,0.03125622138164444,0.0625,0.03289966137943326,0.0,0.0,0.00641025641025641,0.10897435897435898,0.14423076923076922,0.3301282051282051,0.05448717948717949,0.019230769230769232,0.11538461538461539,0.060897435897435896,0.02564102564102564,0.11858974358974358,0.0,0.01282051282051282,0.03205128205128205,0.035256410256410256,0.009615384615384616,0.10897435897435898,0.028846153846153848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022435897435897436,0.0,0.0,0.0,0.00641025641025641,0.0,0.0,0.0,0.4775641025641026,0.5917934551775306,0.5331868068978253,0.06226344153402682,0.044444444444444446,0.6026710837385837,0.04298932384341637,0.13454545454545455,0.23397435897435898,0.12179487179487179,0.32051282051282054,0.035256410256410256,0.016025641025641024,0.02564102564102564,0.01282051282051282,1
11433-MT_MED_9011_page12.txt,0.01886882908255593,0.01812486559328971,0.6899164546352277,0.955719080003823,0.009352659806587466,0.02092282454458433,0.027866693191439484,0.011724335144409495,0.050907212759948646,0.0173203264981087,0.049107142857142856,0.02056674389591873,0.0,0.0,0.008264462809917356,0.05371900826446281,0.09504132231404959,0.21074380165289255,0.08677685950413223,0.012396694214876033,0.10743801652892562,0.04132231404958678,0.03305785123966942,0.07851239669421488,0.0,0.0371900826446281,0.008264462809917356,0.04132231404958678,0.17768595041322313,0.1859504132231405,0.01652892561983471,0.004132231404958678,0.0,0.0,0.0,0.1115702479338843,0.008264462809917356,0.0,0.012396694214876033,0.0,0.0,0.0,0.0,0.024793388429752067,0.0,0.008264462809917356,0.0,0.371900826446281,0.7230942125394895,0.5735337101856205,0.00958284728180705,0.003333333333333334,0.8576356341243112,0.02790035587188612,0.12727272727272726,0.2768595041322314,0.1115702479338843,0.384297520661157,0.028925619834710745,0.012396694214876033,0.028925619834710745,0.024793388429752067,1
