file,Kincaid,ARI,Coleman-Liau,FleschReadingEase,GunningFogIndex,LIX,SMOGIndex,RIX,DaleChallIndex,total_words,total_sentences,total_characters,passive_voice,active_voice,passive_toks,active_toks,verbs,nouns,adjectives,adverbs,prepositions,auxiliaries,coord_conjunctions,determiners,interjections,numbers,particles,pronouns,proper_nouns,punctuations,subordinating_conjunctions,symbols,other,money,persons,norp,facilities,organizations,gpe,products,works,dates,times,quantities,ordinals,cardinals,percentages,stopwords,locations,laws,characters_per_word,syll_per_word,words_per_sentence,sentences_per_paragraph,type_token_ratio,syllables,wordtypes,long_words,complex_words,complex_words_dc,tobeverb,auxverb,conjunction,nominalization,label,label
0.txt,0.0735298329458593,0.06759885134256423,0.581192501513222,0.9049331093938915,0.0675928893820707,0.06835909666311134,0.14251663500710784,0.04708798017348203,0.07718731973376497,0.04797929524188732,0.07142857142857142,0.049082160042773125,0.03282828282828283,0.04292929292929293,0.012626262626262626,0.0707070707070707,0.1111111111111111,0.2803030303030303,0.10353535353535354,0.03282828282828283,0.10606060606060606,0.0707070707070707,0.06565656565656566,0.08838383838383838,0.0,0.012626262626262626,0.03282828282828283,0.03282828282828283,0.030303030303030304,0.10606060606060606,0.017676767676767676,0.0025252525252525255,0.0,0.0,0.0,0.0025252525252525255,0.0,0.017676767676767676,0.0,0.0025252525252525255,0.0,0.005050505050505051,0.0,0.0,0.0,0.025252525252525252,0.0,0.45707070707070707,0.0,0.0,0.5693871032979653,0.5420333561712163,0.06615281781342691,0.0,0.6673371285553217,0.06092526690391459,0.23272727272727273,0.2222222222222222,0.13383838383838384,0.3409090909090909,0.047979797979797977,0.015151515151515152,0.06313131313131314,0.015151515151515152,1,1
1.txt,0.042233046716223424,0.040366742769891,0.6341761914879659,0.9381476180876895,0.03647358575835303,0.04598930895974903,0.0873967658682214,0.03505045140732873,0.059471353425380194,0.026876368703961775,0.0625,0.028265906255569417,0.020689655172413793,0.010344827586206896,0.0,0.13448275862068965,0.16896551724137931,0.20344827586206896,0.04827586206896552,0.06551724137931035,0.1103448275862069,0.0034482758620689655,0.03103448275862069,0.16206896551724137,0.0,0.020689655172413793,0.006896551724137931,0.06551724137931035,0.03103448275862069,0.13793103448275862,0.05862068965517241,0.0034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013793103448275862,0.0,0.0,0.0,0.006896551724137931,0.020689655172413793,0.0,0.5,0.0,0.0,0.6314944498970255,0.5269926120285118,0.0361037007859918,0.0018518518518518526,0.5370816178000972,0.03601423487544484,0.08727272727272728,0.27586206896551724,0.1206896551724138,0.35517241379310344,0.0034482758620689655,0.0034482758620689655,0.03103448275862069,0.034482758620689655,1,1
10.txt,0.06816159218417002,0.0630452525170529,0.5664900285737953,0.9128655360836703,0.06026045344592289,0.06926062128173822,0.11233307569201048,0.05353159851301115,0.07722230605509675,0.03165438980688831,0.049107142857142856,0.03104615932988772,0.025477707006369428,0.07643312101910828,0.006369426751592357,0.11146496815286625,0.18152866242038215,0.21337579617834396,0.05732484076433121,0.044585987261146494,0.12420382165605096,0.06369426751592357,0.04777070063694268,0.06687898089171974,0.0,0.0,0.050955414012738856,0.08917197452229299,0.006369426751592357,0.07643312101910828,0.041401273885350316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5382165605095541,0.0,0.0,0.5563152722413709,0.5215794504598876,0.06226344153402682,0.0,0.3430970573688923,0.04199288256227758,0.04363636363636364,0.2611464968152866,0.10509554140127389,0.3503184713375796,0.025477707006369428,0.01592356687898089,0.03184713375796178,0.0,1,1
11.txt,0.48375582359770747,0.47432526422735727,0.6976998550072545,0.4790855528040528,0.4728632239972538,0.4738023885131599,0.585565466981549,0.44609665427509293,0.4347375241761569,0.04917380051761895,0.09821428571428571,0.057066476563892354,0.07213930348258707,0.06467661691542288,0.024875621890547265,0.06965174129353234,0.12437810945273632,0.26616915422885573,0.10945273631840796,0.03233830845771144,0.09950248756218906,0.1318407960199005,0.0472636815920398,0.08208955223880597,0.0,0.009950248756218905,0.03233830845771144,0.04477611940298507,0.007462686567164179,0.0845771144278607,0.012437810945273632,0.0,0.0,0.0,0.0,0.0,0.0,0.0024875621890547263,0.0,0.0,0.0,0.017412935323383085,0.0,0.0,0.0,0.004975124378109453,0.0,0.5099502487562189,0.0,0.0,0.665457863204817,0.6630938528605556,0.46540919914776285,0.0,0.5671094421259361,0.07701067615658364,0.19818181818181818,0.3034825870646766,0.19651741293532338,0.38308457711442784,0.05472636815920398,0.04975124378109453,0.0472636815920398,0.024875621890547265,1,1
12.txt,0.05109780456225829,0.04633484705974461,0.48810673165358165,0.9366427863291138,0.04458421907720993,0.048882926524894885,0.07583381174486512,0.030978934324659233,0.06342561963684537,0.03026080031853474,0.07142857142857142,0.02659062555694172,0.05863192182410423,0.05211726384364821,0.02280130293159609,0.08143322475570032,0.15960912052117263,0.23127035830618892,0.07166123778501629,0.035830618892508145,0.09120521172638436,0.09120521172638436,0.029315960912052116,0.14006514657980457,0.0,0.0,0.035830618892508145,0.03257328990228013,0.03257328990228013,0.07166123778501629,0.03257328990228013,0.0,0.0,0.0,0.0,0.0,0.0,0.019543973941368076,0.003257328990228013,0.006514657980456026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5342019543973942,0.0,0.0,0.4856863434526532,0.46805603013963504,0.04908718719973264,0.0,0.5465274565780929,0.036441281138790034,0.11090909090909092,0.20195439739413681,0.08469055374592833,0.34527687296416937,0.05537459283387622,0.016286644951140065,0.029315960912052116,0.0,1,1
13.txt,0.49502543201550075,0.48964022777521066,0.40848500774030777,0.4985013395958244,0.4879862980201397,0.482842159084328,0.3692725154788544,0.21561338289962825,0.4167378688606411,0.054349990045789366,0.06696428571428571,0.04473355908037783,0.02102803738317757,0.07242990654205607,0.011682242990654205,0.0630841121495327,0.10046728971962617,0.21728971962616822,0.10046728971962617,0.02102803738317757,0.10514018691588785,0.09579439252336448,0.053738317757009345,0.10747663551401869,0.0,0.037383177570093455,0.053738317757009345,0.056074766355140186,0.035046728971962614,0.09813084112149532,0.016355140186915886,0.0,0.0,0.0,0.0,0.0,0.0,0.002336448598130841,0.0,0.0,0.0,0.08878504672897196,0.0,0.0,0.009345794392523364,0.014018691588785047,0.0,0.5794392523364486,0.0,0.0,0.3892822493872782,0.41761382931900876,0.49398420854743696,0.0,0.5039594893710151,0.05380782918149466,0.18727272727272729,0.14018691588785046,0.08411214953271028,0.2523364485981308,0.04672897196261682,0.04205607476635514,0.053738317757009345,0.009345794392523364,1,1
14.txt,0.05586348955876717,0.05073222950650018,0.5049948793672578,0.9299514065176903,0.04734110620404751,0.046393066982428045,0.07341671751774406,0.023048327137546464,0.0669340473627786,0.02369102130201075,0.07142857142857142,0.020602388166102298,0.029197080291970802,0.040145985401459854,0.014598540145985401,0.08394160583941605,0.0948905109489051,0.2737226277372263,0.09854014598540146,0.043795620437956206,0.13138686131386862,0.0948905109489051,0.029197080291970802,0.06204379562043796,0.0,0.014598540145985401,0.021897810218978103,0.06569343065693431,0.040145985401459854,0.10948905109489052,0.010948905109489052,0.0036496350364963502,0.0,0.0,0.0,0.0072992700729927005,0.0,0.014598540145985401,0.010948905109489052,0.0,0.0,0.0072992700729927005,0.0,0.0,0.0036496350364963502,0.032846715328467155,0.0,0.4854014598540146,0.0,0.0,0.5004729685235428,0.4834099412744604,0.052738438400802105,0.0,0.5900909792396182,0.03088967971530249,0.09636363636363636,0.14963503649635038,0.07664233576642336,0.34306569343065696,0.07664233576642336,0.01824817518248175,0.029197080291970802,0.010948905109489052,1,1
15.txt,0.17993178821955877,0.17385693804277585,0.5996648670539902,0.7973336721848874,0.17291060030714994,0.1725717754653404,0.2671850142019008,0.120817843866171,0.17517013412306653,0.031057137169022496,0.05803571428571429,0.03222242024594547,0.04823151125401929,0.06109324758842444,0.01929260450160772,0.06109324758842444,0.08681672025723473,0.2540192926045016,0.08681672025723473,0.03536977491961415,0.13504823151125403,0.11254019292604502,0.04180064308681672,0.08681672025723473,0.0,0.022508038585209004,0.01607717041800643,0.028938906752411574,0.0707395498392283,0.14469453376205788,0.01929260450160772,0.0,0.0,0.0,0.0,0.0,0.0,0.00964630225080386,0.0,0.0,0.02572347266881029,0.02572347266881029,0.0,0.0,0.003215434083601286,0.03536977491961415,0.0,0.5080385852090032,0.00964630225080386,0.0,0.5766050827440766,0.5506086794225539,0.1713247274094498,0.0,0.6467986682214313,0.044270462633451954,0.14909090909090908,0.22186495176848875,0.1382636655948553,0.3633440514469453,0.04180064308681672,0.03858520900321544,0.04501607717041801,0.02572347266881029,1,1
16.txt,0.025707452869160742,0.021816368762697907,0.39090098885683977,0.9705500545613283,0.02263714329614981,0.019186919994328443,0.03635979820397512,0.008054522924411401,0.007272714944211831,0.050567390005972525,0.10714285714285714,0.04116913206202103,0.02444987775061125,0.09046454767726161,0.012224938875305624,0.097799511002445,0.14425427872860636,0.2273838630806846,0.07090464547677261,0.029339853300733496,0.05867970660146699,0.09535452322738386,0.04156479217603912,0.1198044009779951,0.0,0.02689486552567237,0.061124694376528114,0.07090464547677261,0.007334963325183374,0.08801955990220049,0.019559902200488997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061124694376528114,0.0,0.017114914425427872,0.0,0.009779951100244499,0.0,0.5599022004889975,0.0,0.0,0.40490995493084597,0.4001896668361458,0.028648117976354595,0.0,0.49462828673254583,0.04725978647686833,0.16363636363636364,0.12224938875305623,0.07090464547677261,0.2273838630806846,0.039119804400977995,0.05134474327628362,0.04156479217603912,0.004889975550122249,1,1
17.txt,0.3444760962283353,0.33830534923366457,0.4014933401232717,0.6486069330077496,0.3379055079992531,0.3342993360221021,0.2868185867183356,0.1524163568773234,0.2848594006119699,0.02846904240493729,0.06696428571428571,0.021065763678488683,0.030201342281879196,0.10067114093959731,0.010067114093959731,0.12416107382550336,0.174496644295302,0.18456375838926176,0.0738255033557047,0.030201342281879196,0.0738255033557047,0.1040268456375839,0.053691275167785234,0.06375838926174497,0.0,0.010067114093959731,0.040268456375838924,0.10738255033557047,0.040268456375838924,0.08053691275167785,0.0436241610738255,0.0,0.0,0.0,0.0,0.0,0.0,0.03691275167785235,0.0,0.0,0.0,0.05704697986577181,0.0,0.0,0.0,0.0,0.0,0.587248322147651,0.0,0.0,0.3837726541577322,0.4225774918099439,0.34396540919914775,0.0,0.598664236351669,0.03188612099644128,0.12545454545454546,0.14429530201342283,0.08053691275167785,0.2483221476510067,0.04697986577181208,0.050335570469798654,0.05704697986577181,0.003355704697986577,1,1
